state_code,state,district_code,district,major_language,mother_tongue,source_id,source_year,source_url,data_granularity,data_status
27,Maharashtra,483,Mumbai Suburban,MARATHI,Marathi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
36,Telangana,694,Nagarkurnool,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,209,Nalanda,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
36,Telangana,514,Nalgonda,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,210,Nawada,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
7,Delhi,80,North,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
7,Delhi,82,North West,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
12,Arunachal Pradesh,237,Papum Pare,NISSI/DAFLA,Nissi/Dafla,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
32,Kerala,564,Pathanamthitta,MALAYALAM,Malayalam,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,456,Porbandar,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,120,Prayagraj,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,175,Rae Bareli,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
29,Karnataka,546,Raichur,KANNADA,Kannada,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
